Review,Liked,reviews_cleaned,reviews_cleaned_stopwords
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venturing off the strip for the pork belly will return next time i am in vegas,definitely worth venturing strip pork belly return next time vegas
This place is way too overpriced for mediocre food.,0,this place is way too overpriced for mediocre food,place way overpriced mediocre food
Penne vodka excellent!,1,penne vodka excellent,penne vodka excellent
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burgers
The management is rude.,0,the management is rude,management rude
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagels good selections of cream cheese real lox with capers even,delicious nyc bagels good selections cream cheese real lox capers even
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway in fact it is so good when you come here every other subway will not meet your expectations,great subway fact good come every subway meet expectations
I had a seriously solid breakfast here.,1,i had a seriously solid breakfast here,seriously solid breakfast
This is one of the best bars with food in Vegas.,1,this is one of the best bars with food in vegas,one best bars food vegas
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,extremely rude really many restaurants would love dine weekend vegas
My drink was never empty and he made some really great menu suggestions.,1,my drink was never empty and he made some really great menu suggestions,drink never empty made really great menu suggestions
Don't do it!!!!,0,do not do it,
The waiter wasn't helpful or friendly and rarely checked on us.,0,the waiter was not helpful or friendly and rarely checked on us,waiter helpful friendly rarely checked us
My husband and I ate lunch here and were very disappointed with the food and service.,0,my husband and i ate lunch here and were very disappointed with the food and service,husband ate lunch disappointed food service
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,and the red curry had so much bamboo shoots and was not very tasty to me,red curry much bamboo shoots tasty
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket of moz over top but i feel like this was done to cover up the subpar food,nice blanket moz top feel like done cover subpar food
The bathrooms are clean and the place itself is well decorated.,1,the bathrooms are clean and the place itself is well decorated,bathrooms clean place well decorated
"The menu is always changing, food quality is going down & service is extremely slow.",0,the menu is always changing food quality is going down service is extremely slow,menu always changing food quality going service extremely slow
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,the service was a little slow considering that were served by 3 people servers so the food was coming in a slow pace,service little slow considering served 3 people servers food coming slow pace
I give it 2 thumbs down,0,i give it 2 thumbs down,give 2 thumbs
We watched our waiter pay a lot more attention to other tables and ignore us.,0,we watched our waiter pay a lot more attention to other tables and ignore us,watched waiter pay lot attention tables ignore us
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,my fiancé and i came in the middle of the day and we were greeted and seated right away,fiancé came middle day greeted seated right away
This is a great restaurant at the Mandalay Bay.,1,this is a great restaurant at the mandalay bay,great restaurant mandalay bay
We waited for forty five minutes in vain.,0,we waited for forty five minutes in vain,waited forty five minutes vain
Crostini that came with the salad was stale.,0,crostini that came with the salad was stale,crostini came salad stale
Some highlights : Great quality nigiri here!,1,some highlights great quality nigiri here,highlights great quality nigiri
the staff is friendly and the joint is always clean.,1,the staff is friendly and the joint is always clean,staff friendly joint always clean
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,different cut piece day still wonderful tender well well flavored
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,i ordered the voodoo pasta and it was the first time i would had really excellent pasta since going gluten free several years ago,ordered voodoo pasta first time would really excellent pasta since going gluten free several years ago
this place is good.,1,this place is good,place good
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,unfortunately must hit bakery leftover day everything ordered stale
I came back today since they relocated and still not impressed.,0,i came back today since they relocated and still not impressed,came back today since relocated still impressed
I was seated immediately.,1,i was seated immediately,seated immediately
"Their menu is diverse, and reasonably priced.",1,their menu is diverse and reasonably priced,menu diverse reasonably priced
Avoid at all cost!,0,avoid at all cost,avoid cost
Restaurant is always full but never a wait.,1,restaurant is always full but never a wait,restaurant always full never wait
DELICIOUS!!,1,delicious,delicious
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,this place is hands-down one of the best places to eat in the phoenix metro area,place hands-down one best places eat phoenix metro area
So don't go there if you are looking for good food...,0,so do not go there if you are looking for good food ...,go looking good food ...
I've never been treated so bad.,0,i have never been treated so bad,never treated bad
Bacon is hella salty.,1,bacon is hella salty,bacon hella salty
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,also ordered spinach avocado salad ingredients sad dressing literally zero taste
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,really vegas fine dining used right menus handed ladies prices listed
The waitresses are very friendly.,1,the waitresses are very friendly,waitresses friendly
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordy the khao soi is a dish that is not to be missed for curry lovers,lordy khao soi dish missed curry lovers
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter,everything menu terrific also thrilled made amazing accommodations vegetarian daughter
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps i caught them on an off night judging by the other reviews but i am not inspired to go back,perhaps caught night judging reviews inspired go back
The service here leaves a lot to be desired.,0,the service here leaves a lot to be desired,service leaves lot desired
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,the atmosphere is modern and hip while maintaining a touch of coziness,atmosphere modern hip maintaining touch coziness
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,not a weekly haunt but definitely a place to come back to every once in a while,weekly haunt definitely place come back every
We literally sat there for 20 minutes with no one asking to take our order.,0,we literally sat there for 20 minutes with no one asking to take our order,literally sat 20 minutes one asking take order
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,burger absolutely flavor meat totally bland burger overcooked charcoal flavor
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,also decided send back waitress looked like verge heart attack
I dressed up to be treated so rudely!,0,i dressed up to be treated so rudely,dressed treated rudely
It was probably dirt.,0,it was probably dirt,probably dirt
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love this place hits the spot when i want something healthy but not lacking in quantity or flavor,love place hits spot want something healthy lacking quantity flavor
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,i ordered the lemon raspberry ice cocktail which was also incredible,ordered lemon raspberry ice cocktail also incredible
"The food sucked, which we expected but it sucked more than we could have imagined.",0,the food sucked which we expected but it sucked more than we could have imagined,food sucked expected sucked could imagined
Interesting decor.,1,interesting decor,interesting decor
What I really like there is the crepe station.,1,what i really like there is the crepe station,really like crepe station
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also were served hot bread and butter and home made potato chips with bacon bits on top .... very original and very good,also served hot bread butter home made potato chips bacon bits top .... original good
you can watch them preparing the delicious food!),1,you can watch them preparing the delicious food,watch preparing delicious food
Both of the egg rolls were fantastic.,1,both of the egg rolls were fantastic,egg rolls fantastic
"When my order arrived, one of the gyros was missing.",0,when my order arrived one of the gyros was missing,order arrived one gyros missing
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,salad wings ice cream dessert left feeling quite satisfied
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,i am not really sure how joey 's was voted best hot dog in the valley by readers of phoenix magazine,really sure joey 's voted best hot dog valley readers phoenix magazine
The best place to go for a tasty bowl of Pho!,1,the best place to go for a tasty bowl of pho,best place go tasty bowl pho
The live music on Fridays totally blows.,0,the live music on fridays totally blows,live music fridays totally blows
I've never been more insulted or felt disrespected.,0,i have never been more insulted or felt disrespected,never insulted felt disrespected
Very friendly staff.,1,very friendly staff,friendly staff
It is worth the drive.,1,it is worth the drive,worth drive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,i had heard good things about this place but it exceeding every hope i could have dreamed of,heard good things place exceeding every hope could dreamed
Food was great and so was the serivce!,1,food was great and so was the serivce,food great serivce
The warm beer didn't help.,0,the warm beer did not help,warm beer help
Great brunch spot.,1,great brunch spot,great brunch spot
Service is friendly and inviting.,1,service is friendly and inviting,service friendly inviting
Very good lunch spot.,1,very good lunch spot,good lunch spot
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,i have lived here since 1979 and this was the first and last time i have stepped foot into this place,lived since 1979 first last time stepped foot place
The WORST EXPERIENCE EVER.,0,the worst experience ever,worst experience ever
Must have been an off night at this place.,0,must have been an off night at this place,must night place
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,the sides are delish mixed mushrooms yukon gold puree white corn beateous,sides delish mixed mushrooms yukon gold puree white corn beateous
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,if that bug never showed up i would have given a 4 for sure but on the other side of the wall where this bug was climbing was the kitchen,bug never showed would given 4 sure side wall bug climbing kitchen
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,for about 10 minutes we we are waiting for her salad when we realized that it was not coming any time soon,10 minutes waiting salad realized coming time soon
My friend loved the salmon tartar.,1,my friend loved the salmon tartar,friend loved salmon tartar
Won't go back.,0,will not go back,go back
Extremely Tasty!,1,extremely tasty,extremely tasty
Waitress was good though!,1,waitress was good though,waitress good though
Soggy and not good.,0,soggy and not good,soggy good
The Jamaican mojitos are delicious.,1,the jamaican mojitos are delicious,jamaican mojitos delicious
Which are small and not worth the price.,0,which are small and not worth the price,small worth price
- the food is rich so order accordingly.,1,the food is rich so order accordingly,food rich order accordingly
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,the shower area is outside so you can only rinse not take a full shower unless you do not mind being nude for everyone to see,shower area outside rinse take full shower unless mind nude everyone see
The service was a bit lacking.,0,the service was a bit lacking,service bit lacking
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprouts risotto filet all needed salt and pepper .. and of course there is none at the tables,lobster bisque bussell sprouts risotto filet needed salt pepper .. course none tables
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully this bodes for them going out of business and someone who can cook can come in,hopefully bodes going business someone cook come
"It was either too cold, not enough flavor or just bad.",0,it was either too cold not enough flavor or just bad,either cold enough flavor bad
I loved the bacon wrapped dates.,1,i loved the bacon wrapped dates,loved bacon wrapped dates
This is an unbelievable BARGAIN!,1,this is an unbelievable bargain,unbelievable bargain
The folks at Otto always make us feel so welcome and special.,1,the folks at otto always make us feel so welcome and special,folks otto always make us feel welcome special
"As for the ""mains,"" also uninspired.",0,as for the `` mains '' also uninspired,`` mains `` also uninspired
This is the place where I first had pho and it was amazing!!,1,this is the place where i first had pho and it was amazing,place first pho amazing
This wonderful experience made this place a must-stop whenever we are in town again.,1,this wonderful experience made this place a must-stop whenever we are in town again,wonderful experience made place must-stop whenever town
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,if the food is not bad enough for you then enjoy dealing with the world 's worst/annoying drunk people,food bad enough enjoy dealing world 's worst/annoying drunk people
Very very fun chef.,1,very very fun chef,fun chef
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,ordered a double cheeseburger got a single patty that was falling apart picture uploaded yeah still sucks,ordered double cheeseburger got single patty falling apart picture uploaded yeah still sucks
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place to have a couple drinks and watch any and all sporting events as the walls are covered with tv 's,great place couple drinks watch sporting events walls covered tv 's
"If it were possible to give them zero stars, they'd have it.",0,if it were possible to give them zero stars they would have it,possible give zero stars would
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,the descriptions said `` yum yum sauce '' and another said `` eel sauce '' yet another said `` spicy mayo '' ... well none of the rolls had sauces on them,descriptions said `` yum yum sauce `` another said `` eel sauce `` yet another said `` spicy mayo `` ... well none rolls sauces
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,i would say that would be the hardest decision ... honestly all of m 's dishes taste how they are supposed to taste amazing,would say would hardest decision ... honestly 's dishes taste supposed taste amazing
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,if she had not rolled the eyes we may have stayed ... not sure if we will go back and try it again,rolled eyes may stayed ... sure go back try
"Everyone is very attentive, providing excellent customer service.",1,everyone is very attentive providing excellent customer service,everyone attentive providing excellent customer service
Horrible - don't waste your time and money.,0,horrible do not waste your time and money,horrible waste time money
Now this dish was quite flavourful.,1,now this dish was quite flavourful,dish quite flavourful
By this time our side of the restaurant was almost empty so there was no excuse.,0,by this time our side of the restaurant was almost empty so there was no excuse,time side restaurant almost empty excuse
"(It wasn't busy either) Also, the building was FREEZING cold.",0,it was not busy either also the building was freezing cold,busy either also building freezing cold
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like the other reviewer said `` you could not pay me to eat at this place again '',like reviewer said `` could pay eat place ``
-Drinks took close to 30 minutes to come out at one point.,0,-drinks took close to 30 minutes to come out at one point,-drinks took close 30 minutes come one point
