Review,Liked,reviews_cleaned_lemmatized,reviews_cleaned
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal include 5 tasting 2 drink jeff go beyond expect,the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected
"- Really, really good rice, all the time.",1,really really good rice time,really really good rice all the time
The service was meh.,0,service meh,the service was meh
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,take 30 min get milkshake nothing chocolate milk,it took over 30 min to get their milkshake which was nothing more than chocolate milk
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,guess know place would suck inside excalibur use common sense,i guess i should have known that this place would suck because it is inside of the excalibur but i did not use my common sense
The scallop dish is quite appalling for value as well.,0,scallop dish quite appal value well,the scallop dish is quite appalling for value as well
2 times - Very Bad Customer Service !,0,2 time bad customer service,2 times very bad customer service
The sweet potato fries were very good and seasoned well.,1,sweet potato fry good season well,the sweet potato fries were very good and seasoned well
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time lunch buffet pretty good,today is the second time i have been to their lunch buffet and it was pretty good
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,much good food vega feel cheated waste eat opportunity go rice company,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,come like experience underwhelming relationship party wait person ask break,coming here is like experiencing an underwhelming relationship where both parties can not wait for the other person to ask to break up
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place smell like old grease trap 2 others eat,walked in and the place smelled like an old grease trap and only 2 others there eating
The turkey and roast beef were bland.,0,turkey roast beef bland,the turkey and roast beef were bland
This place has it!,1,place,this place has it
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,pan cake everyone rave taste like sugary disaster tailor palate six year old,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old
I love the Pho and the spring rolls oh so yummy you have to try.,1,love pho spring roll oh yummy try,i love the pho and the spring rolls oh so yummy you have to try
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,poor batter meat ratio make chicken tender unsatisfying,the poor batter to meat ratio made the chicken tenders very unsatisfying
All I have to say is the food was amazing!!!,1,say food amaze,all i have to say is the food was amazing
Omelets are to die for!,1,omelet die,omelets are to die for
Everything was fresh and delicious!,1,everything fresh delicious,everything was fresh and delicious
"In summary, this was a largely disappointing dining experience.",0,summary largely disappointing din experience,in summary this was a largely disappointing dining experience
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,like really sexy party mouth outrageously flirt hot person party,it is like a really sexy party in your mouth where you are outrageously flirting with the hottest person at the party
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never hard rock casino never ever step forward,never been to hard rock casino before will never ever step forward in it again
Best breakfast buffet!!!,1,best breakfast buffet,best breakfast buffet
say bye bye to your tip lady!,0,say bye bye tip lady,say bye bye to your tip lady
We'll never go again.,0,never go,we will never go again
Will be back again!,1,back,will be back again
Food arrived quickly!,1,food arrive quickly,food arrived quickly
It was not good.,0,good,it was not good
"On the up side, their cafe serves really good food.",1,side cafe serf really good food,on the up side their cafe serves really good food
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,server fantastic find wife love roast garlic bone marrow add extra meal another marrow go,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,good thing waiter helpful keep bloddy mary 's come,the only good thing was our waiter he was very helpful and kept the bloddy mary 's coming
"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price beat,best buffet in town for the price you can not beat it
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,love mussel cook wine reduction duck tender potato dish delicious,i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious
This is one of the better buffets that I have been to.,1,one good buffet,this is one of the better buffets that i have been to
So we went to Tigerlilly and had a fantastic afternoon!,1,go tigerlilly fantastic afternoon,so we went to tigerlilly and had a fantastic afternoon
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,food delicious bartender attentive personable get great deal,the food was delicious our bartender was attentive and personable and we got a great deal
The ambience is wonderful and there is music playing.,1,ambience wonderful music playing,the ambience is wonderful and there is music playing
Will go back next trip out.,1,go back next trip,will go back next trip out
Sooooo good!!,1,sooooo good,sooooo good
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lover let u honest yama good,real sushi lovers let us be honest yama is not that good
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least 40min pass u order food arrive busy,at least 40min passed in between us ordering and the food arriving and it was not that busy
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,really fantastic thai restaurant definitely worth visit,this is a really fantastic thai restaurant which is definitely worth a visit
"Nice, spicy and tender.",1,nice spicy tender,nice spicy and tender
Good prices.,1,good price,good prices
Check it out.,1,check,check it out
It was pretty gross!,0,pretty gross,it was pretty gross
I've had better atmosphere.,0,well atmosphere,i have had better atmosphere
Kind of hard to mess up a steak but they did.,0,kind hard mess steak,kind of hard to mess up a steak but they did
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although much like look sound place actual experience bit disappointing,although i very much liked the look and sound of this place the actual experience was a bit disappointing
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,know place manage serve bland food ever eaten prepare indian cuisine,i just do not know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine
"Worst service to boot, but that is the least of their worries.",0,bad service boot least worry,worst service to boot but that is the least of their worries
Service was fine and the waitress was friendly.,1,service fine waitress friendly,service was fine and the waitress was friendly
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,guy steak steak love son steak best bad place say best steak ever eat,the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he is ever eaten
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,thought would venture away get good sushi place really hit spot night,we thought you would have to venture further away to get good sushi but this place really hit the spot that night
"Host staff were, for lack of a better word, BITCHES!",0,host staff lack well word bitch,host staff were for lack of a better word bitches
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland ... like place number reason want waste time bad review .. leave ...,bland ... not a liking this place for a number of reasons and i do not want to waste time on bad reviewing .. i will leave it at that ...
"Phenomenal food, service and ambiance.",1,phenomenal food service ambiance,phenomenal food service and ambiance
I wouldn't return.,0,would return,i would not return
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venture strip pork belly return next time vega,definitely worth venturing off the strip for the pork belly will return next time i am in vegas
This place is way too overpriced for mediocre food.,0,place way overprice mediocre food,this place is way too overpriced for mediocre food
Penne vodka excellent!,1,penne vodka excellent,penne vodka excellent
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,good selection food include massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers
The management is rude.,0,management rude,the management is rude
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagel good selection cream cheese real lox caper even,delicious nyc bagels good selections of cream cheese real lox with capers even
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact good come every subway meet expectation,great subway in fact it is so good when you come here every other subway will not meet your expectations
I had a seriously solid breakfast here.,1,seriously solid breakfast,i had a seriously solid breakfast here
This is one of the best bars with food in Vegas.,1,one best bar food vega,this is one of the best bars with food in vegas
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,extremely rude really many restaurant would love dine weekend vega,he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas
My drink was never empty and he made some really great menu suggestions.,1,drink never empty make really great menu suggestion,my drink was never empty and he made some really great menu suggestions
The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter helpful friendly rarely check u,the waiter was not helpful or friendly and rarely checked on us
My husband and I ate lunch here and were very disappointed with the food and service.,0,husband ate lunch disappoint food service,my husband and i ate lunch here and were very disappointed with the food and service
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,red curry much bamboo shoot tasty,and the red curry had so much bamboo shoots and was not very tasty to me
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket moz top feel like do cover subpar food,nice blanket of moz over top but i feel like this was done to cover up the subpar food
The bathrooms are clean and the place itself is well decorated.,1,bathroom clean place well decorate,the bathrooms are clean and the place itself is well decorated
"The menu is always changing, food quality is going down & service is extremely slow.",0,menu always change food quality go service extremely slow,the menu is always changing food quality is going down service is extremely slow
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,service little slow consider serve 3 people server food come slow pace,the service was a little slow considering that were served by 3 people servers so the food was coming in a slow pace
I give it 2 thumbs down,0,give 2 thumb,i give it 2 thumbs down
We watched our waiter pay a lot more attention to other tables and ignore us.,0,watched waiter pay lot attention table ignore u,we watched our waiter pay a lot more attention to other tables and ignore us
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,fiancé come middle day greet seat right away,my fiancé and i came in the middle of the day and we were greeted and seated right away
This is a great restaurant at the Mandalay Bay.,1,great restaurant mandalay bay,this is a great restaurant at the mandalay bay
We waited for forty five minutes in vain.,0,wait forty five minute vain,we waited for forty five minutes in vain
Crostini that came with the salad was stale.,0,crostini come salad stale,crostini that came with the salad was stale
Some highlights : Great quality nigiri here!,1,highlight great quality nigiri,some highlights great quality nigiri here
the staff is friendly and the joint is always clean.,1,staff friendly joint always clean,the staff is friendly and the joint is always clean
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,different cut piece day still wonderful tender well well flavor,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,order voodoo pasta first time would really excellent pasta since go gluten free several year ago,i ordered the voodoo pasta and it was the first time i would had really excellent pasta since going gluten free several years ago
this place is good.,1,place good,this place is good
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately must hit bakery leftover day everything order stale,unfortunately we must have hit the bakery on leftover day because everything we ordered was stale
I came back today since they relocated and still not impressed.,0,come back today since relocate still impressed,i came back today since they relocated and still not impressed
I was seated immediately.,1,seat immediately,i was seated immediately
"Their menu is diverse, and reasonably priced.",1,menu diverse reasonably price,their menu is diverse and reasonably priced
Avoid at all cost!,0,avoid cost,avoid at all cost
Restaurant is always full but never a wait.,1,restaurant always full never wait,restaurant is always full but never a wait
DELICIOUS!!,1,delicious,delicious
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place hands-down one best place eat phoenix metro area,this place is hands-down one of the best places to eat in the phoenix metro area
So don't go there if you are looking for good food...,0,go look good food ...,so do not go there if you are looking for good food ...
I've never been treated so bad.,0,never treat bad,i have never been treated so bad
Bacon is hella salty.,1,bacon hella salty,bacon is hella salty
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,also order spinach avocado salad ingredient sad dress literally zero taste,we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,really vegas fine dining use right menu hand lady price list,this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed
The waitresses are very friendly.,1,waitress friendly,the waitresses are very friendly
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordy khao soi dish miss curry lover,lordy the khao soi is a dish that is not to be missed for curry lovers
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everything menu terrific also thrill make amazing accommodation vegetarian daughter,everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps catch night judge review inspire go back,perhaps i caught them on an off night judging by the other reviews but i am not inspired to go back
The service here leaves a lot to be desired.,0,service leave lot desire,the service here leaves a lot to be desired
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,atmosphere modern hip maintain touch coziness,the atmosphere is modern and hip while maintaining a touch of coziness
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,weekly haunt definitely place come back every,not a weekly haunt but definitely a place to come back to every once in a while
We literally sat there for 20 minutes with no one asking to take our order.,0,literally sit 20 minute one ask take order,we literally sat there for 20 minutes with no one asking to take our order
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,burger absolutely flavor meat totally bland burger overcook charcoal flavor,the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,also decide send back waitress look like verge heart attack,i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack
I dressed up to be treated so rudely!,0,dress treat rudely,i dressed up to be treated so rudely
It was probably dirt.,0,probably dirt,it was probably dirt
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love place hit spot want something healthy lacking quantity flavor,love this place hits the spot when i want something healthy but not lacking in quantity or flavor
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,ordered lemon raspberry ice cocktail also incredible,i ordered the lemon raspberry ice cocktail which was also incredible
"The food sucked, which we expected but it sucked more than we could have imagined.",0,food suck expect sucked could imagine,the food sucked which we expected but it sucked more than we could have imagined
Interesting decor.,1,interest decor,interesting decor
What I really like there is the crepe station.,1,really like crepe station,what i really like there is the crepe station
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also serve hot bread butter home make potato chip bacon bit top .... original good,also were served hot bread and butter and home made potato chips with bacon bits on top .... very original and very good
you can watch them preparing the delicious food!),1,watch prepare delicious food,you can watch them preparing the delicious food
Both of the egg rolls were fantastic.,1,egg roll fantastic,both of the egg rolls were fantastic
"When my order arrived, one of the gyros was missing.",0,order arrive one gyro miss,when my order arrived one of the gyros was missing
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,salad wing ice cream dessert leave feel quite satisfied,i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,really sure joey 's voted best hot dog valley reader phoenix magazine,i am not really sure how joey 's was voted best hot dog in the valley by readers of phoenix magazine
The best place to go for a tasty bowl of Pho!,1,best place go tasty bowl pho,the best place to go for a tasty bowl of pho
The live music on Fridays totally blows.,0,live music fridays totally blow,the live music on fridays totally blows
I've never been more insulted or felt disrespected.,0,never insult felt disrespected,i have never been more insulted or felt disrespected
Very friendly staff.,1,friendly staff,very friendly staff
It is worth the drive.,1,worth drive,it is worth the drive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,heard good thing place exceed every hope could dream,i had heard good things about this place but it exceeding every hope i could have dreamed of
Food was great and so was the serivce!,1,food great serivce,food was great and so was the serivce
The warm beer didn't help.,0,warm beer help,the warm beer did not help
Great brunch spot.,1,great brunch spot,great brunch spot
Service is friendly and inviting.,1,service friendly invite,service is friendly and inviting
Very good lunch spot.,1,good lunch spot,very good lunch spot
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,live since 1979 first last time step foot place,i have lived here since 1979 and this was the first and last time i have stepped foot into this place
The WORST EXPERIENCE EVER.,0,bad experience ever,the worst experience ever
Must have been an off night at this place.,0,must night place,must have been an off night at this place
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,side delish mixed mushroom yukon gold puree white corn beateous,the sides are delish mixed mushrooms yukon gold puree white corn beateous
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,bug never show would give 4 sure side wall bug climb kitchen,if that bug never showed up i would have given a 4 for sure but on the other side of the wall where this bug was climbing was the kitchen
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,10 minute wait salad realize coming time soon,for about 10 minutes we we are waiting for her salad when we realized that it was not coming any time soon
My friend loved the salmon tartar.,1,friend love salmon tartar,my friend loved the salmon tartar
Won't go back.,0,go back,will not go back
Extremely Tasty!,1,extremely tasty,extremely tasty
Waitress was good though!,1,waitress good though,waitress was good though
Soggy and not good.,0,soggy good,soggy and not good
The Jamaican mojitos are delicious.,1,jamaican mojitos delicious,the jamaican mojitos are delicious
Which are small and not worth the price.,0,small worth price,which are small and not worth the price
- the food is rich so order accordingly.,1,food rich order accordingly,the food is rich so order accordingly
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outside rinse take full shower unless mind nude everyone see,the shower area is outside so you can only rinse not take a full shower unless you do not mind being nude for everyone to see
The service was a bit lacking.,0,service bit lack,the service was a bit lacking
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprout risotto filet need salt pepper .. course none table,lobster bisque bussell sprouts risotto filet all needed salt and pepper .. and of course there is none at the tables
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully bode go business someone cook come,hopefully this bodes for them going out of business and someone who can cook can come in
"It was either too cold, not enough flavor or just bad.",0,either cold enough flavor bad,it was either too cold not enough flavor or just bad
I loved the bacon wrapped dates.,1,love bacon wrap date,i loved the bacon wrapped dates
This is an unbelievable BARGAIN!,1,unbelievable bargain,this is an unbelievable bargain
The folks at Otto always make us feel so welcome and special.,1,folk otto always make u feel welcome special,the folks at otto always make us feel so welcome and special
"As for the ""mains,"" also uninspired.",0,`` main `` also uninspired,as for the `` mains '' also uninspired
This is the place where I first had pho and it was amazing!!,1,place first pho amazing,this is the place where i first had pho and it was amazing
This wonderful experience made this place a must-stop whenever we are in town again.,1,wonderful experience make place must-stop whenever town,this wonderful experience made this place a must-stop whenever we are in town again
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food bad enough enjoy deal world 's worst/annoying drunk people,if the food is not bad enough for you then enjoy dealing with the world 's worst/annoying drunk people
Very very fun chef.,1,fun chef,very very fun chef
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,order double cheeseburger get single patty fall apart picture upload yeah still suck,ordered a double cheeseburger got a single patty that was falling apart picture uploaded yeah still sucks
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place couple drink watch sport event wall cover tv 's,great place to have a couple drinks and watch any and all sporting events as the walls are covered with tv 's
"If it were possible to give them zero stars, they'd have it.",0,possible give zero star would,if it were possible to give them zero stars they would have it
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,description say `` yum yum sauce `` another say `` eel sauce `` yet another say `` spicy mayo `` ... well none roll sauce,the descriptions said `` yum yum sauce '' and another said `` eel sauce '' yet another said `` spicy mayo '' ... well none of the rolls had sauces on them
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,would say would hardest decision ... honestly 's dish taste suppose taste amaze,i would say that would be the hardest decision ... honestly all of m 's dishes taste how they are supposed to taste amazing
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,roll eye may stay ... sure go back try,if she had not rolled the eyes we may have stayed ... not sure if we will go back and try it again
"Everyone is very attentive, providing excellent customer service.",1,everyone attentive providing excellent customer service,everyone is very attentive providing excellent customer service
Horrible - don't waste your time and money.,0,horrible waste time money,horrible do not waste your time and money
Now this dish was quite flavourful.,1,dish quite flavourful,now this dish was quite flavourful
By this time our side of the restaurant was almost empty so there was no excuse.,0,time side restaurant almost empty excuse,by this time our side of the restaurant was almost empty so there was no excuse
"(It wasn't busy either) Also, the building was FREEZING cold.",0,busy either also build freeze cold,it was not busy either also the building was freezing cold
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like reviewer say `` could pay eat place ``,like the other reviewer said `` you could not pay me to eat at this place again ''
-Drinks took close to 30 minutes to come out at one point.,0,-drinks take close 30 minute come one point,-drinks took close to 30 minutes to come out at one point
"Seriously flavorful delights, folks.",1,seriously flavorful delight folk,seriously flavorful delights folks
Much better than the other AYCE sushi place I went to in Vegas.,1,much good ayce sushi place go vega,much better than the other ayce sushi place i went to in vegas
The lighting is just dark enough to set the mood.,1,light dark enough set mood,the lighting is just dark enough to set the mood
