Review,Liked,reviews_cleaned
We watched our waiter pay a lot more attention to other tables and ignore us.,0,we watched our waiter pay a lot more attention to other tables and ignore us
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,my fiancé and i came in the middle of the day and we were greeted and seated right away
This is a great restaurant at the Mandalay Bay.,1,this is a great restaurant at the mandalay bay
We waited for forty five minutes in vain.,0,we waited for forty five minutes in vain
Crostini that came with the salad was stale.,0,crostini that came with the salad was stale
Some highlights : Great quality nigiri here!,1,some highlights great quality nigiri here
the staff is friendly and the joint is always clean.,1,the staff is friendly and the joint is always clean
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,i ordered the voodoo pasta and it was the first time i would had really excellent pasta since going gluten free several years ago
this place is good.,1,this place is good
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately we must have hit the bakery on leftover day because everything we ordered was stale
I came back today since they relocated and still not impressed.,0,i came back today since they relocated and still not impressed
I was seated immediately.,1,i was seated immediately
"Their menu is diverse, and reasonably priced.",1,their menu is diverse and reasonably priced
Avoid at all cost!,0,avoid at all cost
Restaurant is always full but never a wait.,1,restaurant is always full but never a wait
DELICIOUS!!,1,delicious
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,this place is hands-down one of the best places to eat in the phoenix metro area
So don't go there if you are looking for good food...,0,so do not go there if you are looking for good food ...
I've never been treated so bad.,0,i have never been treated so bad
Bacon is hella salty.,1,bacon is hella salty
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed
The waitresses are very friendly.,1,the waitresses are very friendly
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordy the khao soi is a dish that is not to be missed for curry lovers
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps i caught them on an off night judging by the other reviews but i am not inspired to go back
The service here leaves a lot to be desired.,0,the service here leaves a lot to be desired
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,the atmosphere is modern and hip while maintaining a touch of coziness
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,not a weekly haunt but definitely a place to come back to every once in a while
We literally sat there for 20 minutes with no one asking to take our order.,0,we literally sat there for 20 minutes with no one asking to take our order
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack
I dressed up to be treated so rudely!,0,i dressed up to be treated so rudely
It was probably dirt.,0,it was probably dirt
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love this place hits the spot when i want something healthy but not lacking in quantity or flavor
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,i ordered the lemon raspberry ice cocktail which was also incredible
"The food sucked, which we expected but it sucked more than we could have imagined.",0,the food sucked which we expected but it sucked more than we could have imagined
Interesting decor.,1,interesting decor
What I really like there is the crepe station.,1,what i really like there is the crepe station
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also were served hot bread and butter and home made potato chips with bacon bits on top .... very original and very good
you can watch them preparing the delicious food!),1,you can watch them preparing the delicious food
Both of the egg rolls were fantastic.,1,both of the egg rolls were fantastic
"When my order arrived, one of the gyros was missing.",0,when my order arrived one of the gyros was missing
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,i am not really sure how joey 's was voted best hot dog in the valley by readers of phoenix magazine
The best place to go for a tasty bowl of Pho!,1,the best place to go for a tasty bowl of pho
The live music on Fridays totally blows.,0,the live music on fridays totally blows
I've never been more insulted or felt disrespected.,0,i have never been more insulted or felt disrespected
Very friendly staff.,1,very friendly staff
It is worth the drive.,1,it is worth the drive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,i had heard good things about this place but it exceeding every hope i could have dreamed of
Food was great and so was the serivce!,1,food was great and so was the serivce
The warm beer didn't help.,0,the warm beer did not help
Great brunch spot.,1,great brunch spot
Service is friendly and inviting.,1,service is friendly and inviting
Very good lunch spot.,1,very good lunch spot
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,i have lived here since 1979 and this was the first and last time i have stepped foot into this place
The WORST EXPERIENCE EVER.,0,the worst experience ever
Must have been an off night at this place.,0,must have been an off night at this place
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,the sides are delish mixed mushrooms yukon gold puree white corn beateous
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,if that bug never showed up i would have given a 4 for sure but on the other side of the wall where this bug was climbing was the kitchen
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,for about 10 minutes we we are waiting for her salad when we realized that it was not coming any time soon
My friend loved the salmon tartar.,1,my friend loved the salmon tartar
Won't go back.,0,will not go back
Extremely Tasty!,1,extremely tasty
Waitress was good though!,1,waitress was good though
Soggy and not good.,0,soggy and not good
The Jamaican mojitos are delicious.,1,the jamaican mojitos are delicious
Which are small and not worth the price.,0,which are small and not worth the price
- the food is rich so order accordingly.,1,the food is rich so order accordingly
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,the shower area is outside so you can only rinse not take a full shower unless you do not mind being nude for everyone to see
The service was a bit lacking.,0,the service was a bit lacking
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprouts risotto filet all needed salt and pepper .. and of course there is none at the tables
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully this bodes for them going out of business and someone who can cook can come in
"It was either too cold, not enough flavor or just bad.",0,it was either too cold not enough flavor or just bad
I loved the bacon wrapped dates.,1,i loved the bacon wrapped dates
This is an unbelievable BARGAIN!,1,this is an unbelievable bargain
The folks at Otto always make us feel so welcome and special.,1,the folks at otto always make us feel so welcome and special
"As for the ""mains,"" also uninspired.",0,as for the `` mains '' also uninspired
This is the place where I first had pho and it was amazing!!,1,this is the place where i first had pho and it was amazing
This wonderful experience made this place a must-stop whenever we are in town again.,1,this wonderful experience made this place a must-stop whenever we are in town again
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,if the food is not bad enough for you then enjoy dealing with the world 's worst/annoying drunk people
Very very fun chef.,1,very very fun chef
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,ordered a double cheeseburger got a single patty that was falling apart picture uploaded yeah still sucks
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place to have a couple drinks and watch any and all sporting events as the walls are covered with tv 's
"If it were possible to give them zero stars, they'd have it.",0,if it were possible to give them zero stars they would have it
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,the descriptions said `` yum yum sauce '' and another said `` eel sauce '' yet another said `` spicy mayo '' ... well none of the rolls had sauces on them
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,i would say that would be the hardest decision ... honestly all of m 's dishes taste how they are supposed to taste amazing
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,if she had not rolled the eyes we may have stayed ... not sure if we will go back and try it again
"Everyone is very attentive, providing excellent customer service.",1,everyone is very attentive providing excellent customer service
Horrible - don't waste your time and money.,0,horrible do not waste your time and money
Now this dish was quite flavourful.,1,now this dish was quite flavourful
By this time our side of the restaurant was almost empty so there was no excuse.,0,by this time our side of the restaurant was almost empty so there was no excuse
"(It wasn't busy either) Also, the building was FREEZING cold.",0,it was not busy either also the building was freezing cold
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like the other reviewer said `` you could not pay me to eat at this place again ''
-Drinks took close to 30 minutes to come out at one point.,0,-drinks took close to 30 minutes to come out at one point
"Seriously flavorful delights, folks.",1,seriously flavorful delights folks
Much better than the other AYCE sushi place I went to in Vegas.,1,much better than the other ayce sushi place i went to in vegas
The lighting is just dark enough to set the mood.,1,the lighting is just dark enough to set the mood
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,based on the sub-par service i received and no effort to show their gratitude for my business i will not be going back
Owner's are really great people.!,1,owner 's are really great people
There is nothing privileged about working/eating there.,0,there is nothing privileged about working/eating there
The Greek dressing was very creamy and flavorful.,1,the greek dressing was very creamy and flavorful
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall i do not think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too
Now the pizza itself was good the peanut sauce was very tasty.,1,now the pizza itself was good the peanut sauce was very tasty
We had 7 at our table and the service was pretty fast.,1,we had 7 at our table and the service was pretty fast
Fantastic service here.,1,fantastic service here
I as well would've given godfathers zero stars if possible.,0,i as well would have given godfathers zero stars if possible
They know how to make them here.,1,they know how to make them here
very tough and very short on flavor!,0,very tough and very short on flavor
I hope this place sticks around.,1,i hope this place sticks around
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,i have been in more than a few bars in vegas and do not ever recall being charged for tap water
The restaurant atmosphere was exquisite.,1,the restaurant atmosphere was exquisite
"Good service, very clean, and inexpensive, to boot!",1,good service very clean and inexpensive to boot
The seafood was fresh and generous in portion.,1,the seafood was fresh and generous in portion
"Plus, it's only 8 bucks.",1,plus it is only 8 bucks
"The service was not up to par, either.",0,the service was not up to par either
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far have only visited twice and the food was absolutely delicious each time
Just as good as when I had it more than a year ago!,1,just as good as when i had it more than a year ago
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,for a self proclaimed coffee cafe i was wildly disappointed
The Veggitarian platter is out of this world!,1,the veggitarian platter is out of this world
You cant go wrong with any of the food here.,1,you can not go wrong with any of the food here
You can't beat that.,1,you can not beat that
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped by this place while in madison for the ironman very friendly kind staff
The chefs were friendly and did a good job.,1,the chefs were friendly and did a good job
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,i have had better not only from dedicated boba tea spots but even from jenni pho
I liked the patio and the service was outstanding.,1,i liked the patio and the service was outstanding
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,the goat taco did not skimp on the meat and wow what flavor
I think not again,0,i think not again
I had the mac salad and it was pretty bland so I will not be getting that again.,0,i had the mac salad and it was pretty bland so i will not be getting that again
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,i went to bachi burger on a friend 's recommendation and was not disappointed
Service stinks here!,0,service stinks here
I waited and waited.,0,i waited and waited
"This place is not quality sushi, it is not a quality restaurant.",0,this place is not quality sushi it is not a quality restaurant
I would definitely recommend the wings as well as the pizza.,1,i would definitely recommend the wings as well as the pizza
Great Pizza and Salads!,1,great pizza and salads
Things that went wrong: - They burned the saganaki.,0,things that went wrong they burned the saganaki
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,we waited an hour for what was a breakfast i could have done 100 times better at home
This place is amazing!,1,this place is amazing
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited 2 hours never got either of our pizzas as many other around us who came in later did
Just don't know why they were so slow.,0,just do not know why they were so slow
"The staff is great, the food is delish, and they have an incredible beer selection.",1,the staff is great the food is delish and they have an incredible beer selection
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,i live in the neighborhood so i am disappointed i will not be back here because it is a convenient location
I didn't know pulled pork could be soooo delicious.,1,i did not know pulled pork could be soooo delicious
"You get incredibly fresh fish, prepared with care.",1,you get incredibly fresh fish prepared with care
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,before i go in to why i gave a 1 star rating please know that this was my third time eating at bachi burger before writing a review
I love the fact that everything on their menu is worth it.,1,i love the fact that everything on their menu is worth it
Never again will I be dining at this place!,0,never again will i be dining at this place
The food was excellent and service was very good.,1,the food was excellent and service was very good
Good beer & drink selection and good food selection.,1,good beer drink selection and good food selection
Please stay away from the shrimp stir fried noodles.,0,please stay away from the shrimp stir fried noodles
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,the potato chip order was sad ... i could probably count how many chips were in that box and it was probably around 12
Food was really boring.,0,food was really boring
Good Service-check!,1,good service-check
This greedy corporation will NEVER see another dime from me!,0,this greedy corporation will never see another dime from me
"Will never, ever go back.",0,will never ever go back
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,as much as i would like to go back i can not get passed the atrocious service and will never return
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,in the summer you can dine in a charming outdoor patio so very delightful
I did not expect this to be so good!,1,i did not expect this to be so good
Fantastic food!,1,fantastic food
She ordered a toasted English muffin that came out untoasted.,0,she ordered a toasted english muffin that came out untoasted
The food was very good.,1,the food was very good
Never going back.,0,never going back
"Great food for the price, which is very high quality and house made.",1,great food for the price which is very high quality and house made
The bus boy on the other hand was so rude.,0,the bus boy on the other hand was so rude
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,by this point my friends and i had basically figured out this place was a joke and did not mind making it publicly and loudly known
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,and considering the two of us left there very full and happy for about 20 you just can not go wrong
All the bread is made in-house!,1,all the bread is made in-house
The only downside is the service.,0,the only downside is the service
"Also, the fries are without a doubt the worst fries I've ever had.",0,also the fries are without a doubt the worst fries i have ever had
Service was exceptional and food was a good as all the reviews.,1,service was exceptional and food was a good as all the reviews
"A couple of months later, I returned and had an amazing meal.",1,a couple of months later i returned and had an amazing meal
Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place in town for shawarrrrrrma
The black eyed peas and sweet potatoes... UNREAL!,1,the black eyed peas and sweet potatoes ... unreal
You won't be disappointed.,1,you will not be disappointed
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,i go to far too many places and i have never seen any restaurant that serves a 1 egg breakfast especially for 4.00
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,when my mom and i got home she immediately got sick and she only had a few bites of salad
