ID,Marital_Status,Income
6131,Married,70829
6233,Married,65991
4148,Married,38988
4947,Single,89572
3225,Married,42207
7540,Married,50300
10648,Together,66664
1992,Married,60597
7851,Widow,70165
8594,Widow,50520
7059,Married,80124
2815,Married,33183
2416,Single,66582
7999,Together,75261
9213,Widow,31880
9697,Married,53790
3916,Together,49269
2021,Married,61456
1581,Married,37406
564,Together,56937
6619,Married,38415
9081,Single,20518
178,Married,62503
916,Single,41644
5512,Married,55842
8970,Married,62010
10581,Married,41124
5300,Married,38961
5154,Divorced,37760
8346,Single,32233
1676,Married,43057
9286,Together,83151
2426,Divorced,78825
5172,Together,65104
5562,Married,60093
3436,Married,14045
3921,Widow,28457
3403,Together,78952
22,Divorced,46310
10965,Together,76005
9426,Single,58308
6605,Divorced,55614
3136,Divorced,59432
8737,Divorced,55563
11088,Together,78642
716,Together,67911
466,Married,65275
9135,Together,27203
10623,Together,48330
8151,Married,24279
5140,Married,64355
10160,Together,50943
4945,Widow,53653
10584,Married,65665
6071,Single,81217
3386,Married,34935
8939,Divorced,61250
9925,Together,39665
4320,Single,60152
5389,Married,48920
6036,Together,89120
182,Together,44124
203,Single,81169
11025,Married,36443
10203,Single,26095
4607,Together,71367
3711,Married,80184
3696,Divorced,30630
2532,Single,73454
9214,Married,42691
4943,Married,70503
35,Married,25545
2258,Married,32880
4322,Together,77863
713,Married,50353
4702,Single,61839
3281,Married,49154
702,Widow,47682
2004,Single,72679
4769,Together,57954
4437,Married,65316
8724,Single,28567
10741,Together,47352
1991,Together,44931
6931,Divorced,76982
11096,Together,57247
304,Single,22944
3665,Together,25315
10591,Widow,43638
5036,Single,42710
5547,Married,84169
7822,Together,54058
8541,Married,24683
10955,Widow,85620
4368,Married,47850
9671,Married,19514
2256,Married,27159
4279,Single,39548
5371,Single,21474
9240,Single,60504
9460,Married,22419
9504,Married,81698
8692,Together,43462
448,Single,54880
8314,Married,79908
8420,Married,15315
3174,Together,87771
7685,Married,33039
3179,Single,81741
9780,Together,71499
10681,Married,62466
10232,Divorced,48799
4184,Together,52157
9120,Single,66565
891,Together,29298
10381,Single,47691
3525,Together,38200
6818,Married,44989
3526,Married,38443
8181,Single,38593
1029,Together,64413
7369,Married,36959
2574,Married,61996
8159,Married,51287
1160,Married,13260
10242,Together,47472
5253,Together,54603
5966,Married,45207
5314,Together,40689
5081,Together,47821
5123,Married,27450
5756,Together,39453
8036,Together,26850
9058,Widow,79800
5057,Married,61794
254,Together,53863
4179,Together,24221
3710,Single,39684
7627,Married,92163
4501,Single,69882
6424,Together,33178
3075,Married,59973
4992,Together,17459
5252,Divorced,23910
7444,Married,42169
6919,Married,26224
3537,Together,31089
10277,Single,30081
2453,Together,62807
7972,Single,72906
895,Married,61467
1177,Together,49618
7141,Single,21888
7232,Widow,42429
8477,Divorced,26150
2457,Married,30801
988,Married,81168
7930,Single,26877
4587,Widow,45006
6682,Married,18978
6222,Married,22574
10299,Single,48240
3083,Married,45837
8953,Single,35791
1503,Together,162397
8650,Widow,54162
10862,Married,30522
2782,Married,54456
6941,Single,31632
10972,Widow,72298
10708,Single,36975
6583,Married,72635
3641,Married,13624
10156,Single,84196
4299,Together,70971
3469,Divorced,34487
5063,Single,28769
10727,Married,69084
9624,Together,65488
5156,Married,62466
4376,Single,32218
8923,Single,83917
8461,Divorced,46102
6945,Single,84574
944,Married,56181
1907,Divorced,63120
701,Married,73691
3856,Together,63381
4149,Together,76140
2131,Divorced,62859
2942,Single,45906
1173,Together,77632
4381,Married,46463
4611,Together,105471
3376,Divorced,55282
4679,Married,78710
10928,Together,66886
4248,Single,98777
6728,Together,29103
6661,Married,67445
4725,Together,50616
3277,Divorced,49431
5555,Divorced,153924
2564,Together,61278
946,Together,26490
3867,Together,73059
6940,Single,46734
55,Together,56253
7093,Married,19986
5084,Widow,58330
1777,Married,25965
8162,Together,14661
10826,Married,18690
8754,Together,45068
1987,Single,21063
11007,Married,29187
7426,Married,54690
9153,Married,59304
10379,Single,59247
9204,Widow,66731
3197,Married,77353
2920,Single,52614
6961,Married,26751
4673,Married,81300
9937,Single,70337
8779,Married,36145
9596,Single,65295
2891,Divorced,68118
4910,Divorced,68743
75,Together,41039
10120,Together,38946
6327,Together,65777
10142,Divorced,66476
9826,Single,86857
1501,Married,160803
10767,Together,77845
7279,Together,69476
7230,Divorced,50611
143,Single,61209
450,Together,42315
9316,Together,13084
6379,Widow,47570
9239,Married,61923
8315,Single,34824
2868,Single,26518
10888,Single,45938
1277,Together,78468
9977,Divorced,78901
10196,Married,71427
6384,Divorced,71022
8029,Single,90247
968,Divorced,41335
6988,Married,71952
4472,Divorced,35682
6991,Divorced,43185
3336,Together,66375
4301,Married,35178
1940,Married,25252
1272,Single,55250
1388,Single,33249
1044,Together,58398
6969,Together,50272
10479,Married,76618
3619,Divorced,87305
1715,Together,25851
10159,Divorced,58710
1463,Single,45160
5114,Married,74806
4990,Married,59111
4329,Married,18988
10936,Married,72190
4692,Married,7500
7212,Married,44794
6086,Married,80395
437,Divorced,75012
11171,Married,56962
11101,Together,89891
5329,Divorced,35946
610,Together,53593
9384,Married,66373
5956,Divorced,45072
10430,Divorced,89694
7875,Married,72025
7072,Married,67432
6255,Together,70545
6516,Married,17487
5564,Together,62882
5682,Single,64108
7458,Together,34941
5237,Single,48767
7761,Together,38702
5278,Married,82224
3560,Together,83844
7235,Married,17003
10548,Single,71163
2281,Single,33697
4073,Married,63564
6974,Together,83443
7938,Together,51518
7094,Widow,58330
3667,Married,80952
7723,Together,75507
3870,Together,63855
4012,Together,62220
5909,Married,58512
10470,Married,40662
6488,Married,38829
10270,Married,35523
6887,Single,79146
6406,Married,78285
7573,Single,31626
4508,Single,75127
221,Married,48726
5331,Married,74985
1911,Together,67430
20,Married,46891
8786,Married,62058
10582,Married,72063
1915,Married,78939
8897,Single,42720
2371,Married,33622
4303,Together,6835
6825,Together,41452
1072,Single,40760
4964,Together,74250
2461,Single,51124
10736,Single,72258
3194,Single,71466
10839,Together,36283
49,Single,20587
4290,Married,30467
10219,Together,31590
4211,Married,20425
1135,Together,17144
6299,Divorced,42564
10846,Married,43783
347,Divorced,40780
6543,Together,62847
10446,Married,82017
3479,Single,16813
11075,Married,51267
4442,Single,46524
199,Single,45183
6722,Married,70421
796,Divorced,60161
3749,Together,73926
8523,Married,19329
310,Married,61872
8629,Widow,46984
236,Married,34838
9930,Single,82716
3483,Married,48192
4599,Married,49681
7326,Married,56850
7352,Married,55267
2350,Married,59666
9145,Single,72504
2964,Married,26872
5585,Single,21359
9687,Single,73170
3732,Married,52750
6303,Together,91820
11176,Together,65968
2986,Married,30772
7462,Single,22507
3900,Married,65685
7034,Married,25804
9493,Single,76412
1143,Married,22063
1,Single,57091
3855,Married,22419
5536,Together,87771
5989,Divorced,78353
9499,Married,93404
6768,Divorced,37859
2150,Widow,80995
6646,Together,16529
4887,Divorced,55412
8560,Single,48789
3321,Together,56575
11003,Together,25130
10402,Married,35441
9904,Married,71391
6141,Single,49494
5687,Divorced,81702
10856,Single,45889
5121,Single,56628
4186,Together,34026
368,Married,40049
3312,Single,34176
11121,Married,19419
5332,Married,82504
5848,Together,81205
10343,Single,61618
5935,Single,55284
2895,Single,49980
10262,Married,15072
7848,Single,49166
9477,Married,65324
4856,Married,82347
7186,Together,30843
5794,Married,46374
1456,Single,60474
4877,Married,38576
425,Married,55357
3007,Together,37758
1031,Married,85710
4297,Together,23228
807,Together,44602
9553,Married,7500
4271,Together,38683
4120,Single,49514
2036,Together,57906
115,Single,43456
4259,Single,19485
8687,Together,53172
2447,Together,30545
10140,Together,70123
9353,Single,62450
3623,Together,21675
738,Single,42395
7631,Together,61346
4789,Together,80812
773,Divorced,42835
10602,Married,39922
1446,Single,86424
3270,Together,17117
8443,Single,24762
9653,Married,35797
8916,Divorced,36627
8017,Married,51111
5830,Single,86857
4597,Together,82072
7023,Single,46231
8086,Married,42243
8825,Together,51195
2930,Single,68092
1928,Married,31814
7108,Widow,51390
10925,Married,76630
9960,Single,26868
8800,Divorced,48948
9224,Single,55260
5519,Together,64090
5046,Divorced,78331
7037,Married,37087
905,Divorced,21846
8624,Married,81320
8945,Divorced,54137
6445,Together,66825
2727,Together,57100
6404,Together,58917
11074,Single,85072
10150,Single,86429
1968,Widow,45684
6534,Together,47889
9485,Married,45921
7053,Single,78420
4654,Together,75114
9760,Widow,52278
1048,Married,35641
10619,Single,95529
9308,Married,62820
10505,Together,73113
8362,Married,84169
2625,Single,42607
4637,Single,74637
9972,Together,46015
4483,Single,72354
4487,Single,39858
4988,Married,34469
8931,Together,83033
5871,Together,24401
2008,Married,77583
3139,Single,74116
10037,Single,74293
10673,Married,68397
5303,Together,79632
538,Single,46107
7922,Single,64950
5692,Married,25443
4843,Single,75127
6383,Together,32892
1628,Together,71796
1204,Married,67536
3673,Single,55239
760,Divorced,60554
8957,Single,64831
4128,Together,56067
6810,Divorced,82025
5386,Together,94384
8700,Single,14906
3202,Married,51563
1328,Married,57937
8405,Divorced,68274
6515,Together,39771
2882,Divorced,67893
7574,Together,27922
6387,Together,52190
5320,Divorced,44051
5048,Single,42767
8146,Together,46106
10031,Married,16927
5748,Married,59754
2134,Single,53700
1523,Married,59041
9665,Divorced,54237
4640,Divorced,70647
3635,Single,52597
3547,Together,41021
2456,Married,40233
5633,Married,50183
7801,Together,54753
10489,Married,92955
7011,Married,33471
2620,Married,34596
3933,Together,44010
10981,Married,84219
1734,Together,40706
10995,Married,15716
6357,Divorced,59052
9209,Together,80573
10286,Married,83715
2611,Together,82576
1600,Married,56962
3308,Married,35704
5407,Together,53103
2166,Widow,46779
3955,Divorced,4861
6634,Divorced,33462
3056,Divorced,63693
5718,Married,80763
6872,Married,65352
8164,Married,82170
4580,Married,75759
9305,Single,79689
453,Widow,35340
8545,Divorced,85683
9850,Married,24884
7378,Together,42021
7646,Single,64449
1640,Divorced,64587
5184,Single,34824
8492,Together,75437
11188,Together,26091
1212,Married,52845
9097,Divorced,46086
10473,Widow,78028
7962,Single,95169
9984,Married,56337
5527,Together,22434
6374,Married,36930
7453,Single,36130
8952,Married,65569
241,Together,83844
8975,Married,19514
6119,Single,36736
5236,Together,77568
5723,Together,49187
1710,Single,30168
1970,Together,34053
5313,Married,38196
10634,Married,59412
7010,Married,70924
8562,Together,54165
3158,Married,32300
4436,Single,20180
5287,Married,34961
2445,Together,28440
6059,Together,64504
4550,Together,33564
4240,Married,17345
8911,Married,56320
3706,Single,28647
3628,Single,15038
10175,Divorced,32173
8985,Together,68316
5204,Together,74538
9220,Single,91700
9888,Together,68695
5263,Married,31056
1020,Married,79593
9503,Single,28071
10613,Together,37334
67,Single,46423
6019,Married,37126
5863,Married,47703
3717,Married,61180
6730,Married,38998
10749,Single,8028
4998,Together,76081
6287,Together,34728
5985,Single,33168
4754,Married,33585
4002,Married,77037
8870,Together,35196
966,Married,44529
4767,Married,70924
9725,Together,28764
4475,Married,69098
5740,Divorced,25959
5731,Married,27100
7290,Single,70596
3846,Married,42557
8104,Married,53312
4507,Single,72228
11013,Together,67605
4491,Married,62845
3759,Together,65196
1162,Single,42000
2055,Divorced,35860
10766,Married,65526
4415,Married,16860
3005,Single,83528
2223,Divorced,64176
4817,Divorced,22304
2875,Married,67023
10536,Together,32892
11112,Together,70713
3807,Together,59925
9197,Married,39722
10832,Together,46610
6421,Together,88347
4207,Married,87171
577,Together,26907
10855,Single,50014
3081,Married,41014
3535,Single,66294
247,Married,36715
8707,Married,79456
9523,Together,40479
6072,Single,75345
6295,Married,54233
10914,Single,24163
1509,Together,84460
5577,Together,43776
7348,Single,71691
1127,Married,85844
1833,Single,39190
4944,Together,71367
9080,Single,38578
6466,Married,57236
9964,Single,61825
4790,Divorced,79803
10245,Single,80910
1109,Together,27590
6001,Married,56775
5538,Divorced,83829
10552,Married,54210
1545,Married,38508
7409,Together,53187
4444,Married,30023
146,Single,76045
6271,Married,50870
10065,Married,15315
4741,Married,65463
246,Married,66480
375,Divorced,76773
1524,Single,81698
10022,Single,54466
7451,Single,98777
11010,Single,16269
4356,Together,71819
3885,Married,33569
1175,Married,36262
880,Together,22634
2320,Married,47025
850,Single,70566
4713,Married,31605
675,Divorced,52034
5025,Single,48526
2308,Married,46734
5995,Divorced,39552
6749,Single,86358
1010,Together,46931
8977,Single,16581
4756,Divorced,63998
3412,Married,67381
606,Single,25930
5961,Married,42693
2975,Together,85606
2894,Single,72903
7613,Together,49669
10542,Married,36778
8015,Divorced,85696
10617,Divorced,10979
11166,Married,49678
849,Together,56129
523,Married,37155
4066,Divorced,21282
8414,Single,33419
819,Widow,63285
4961,Together,21255
749,Together,42162
5430,Together,54450
7755,Married,57744
10525,Single,26576
1453,Widow,57513
8310,Together,68142
10710,Married,7500
5031,Together,83145
2613,Married,54197
213,Single,23091
967,Married,46049
1077,Together,56715
7959,Married,79410
640,Married,57304
4252,Married,44375
8432,Together,54450
6218,Married,59594
6905,Together,80685
5922,Married,40344
3598,Married,62710
6116,Married,48985
6263,Together,35322
10486,Married,77142
2410,Single,81657
193,Married,14421
3363,Married,20130
8278,Married,74214
10660,Married,66726
8686,Together,23724
1604,Married,47353
5907,Married,33444
10669,Married,54386
2918,Divorced,28510
5735,Single,90638
359,Together,48070
8387,Married,43140
1829,Divorced,54959
3839,Single,15056
9392,Single,26954
2292,Single,22327
10466,Married,44393
9855,Single,62000
4088,Together,31497
5231,Married,45894
590,Divorced,78579
8732,Widow,67369
2315,Divorced,58401
3515,Single,62307
2245,Married,43641
6283,Divorced,63841
2246,Married,46891
6606,Married,70091
5545,Married,78075
7342,Widow,59184
837,Married,54809
9500,Married,58113
3602,Married,51412
234,Divorced,15287
2995,Together,66636
1118,Married,50965
7789,Married,84618
3068,Married,18351
8955,Together,40451
945,Together,36317
5644,Together,42213
7192,Together,65748
2324,Together,77044
697,Together,74918
3439,Married,56721
1506,Single,42160
232,Single,61559
8876,Together,33629
4500,Together,68682
9739,Single,34377
10395,Single,8940
1176,Married,26228
1627,Divorced,77297
938,Married,40211
2740,Widow,33438
257,Married,75032
4058,Single,61284
7736,Married,22518
8210,Married,54730
833,Married,38452
6230,Divorced,44421
7325,Together,38197
1307,Divorced,41986
1502,Together,28427
6211,Together,37395
843,Married,64722
4174,Together,55249
9757,Together,84906
6918,Married,28691
286,Single,44213
11086,Single,25707
1921,Married,59062
4138,Single,76624
7718,Together,66000
1291,Together,27683
6862,Divorced,1730
4136,Single,7500
803,Together,40521
4298,Together,20427
10833,Married,65106
9606,Married,69969
8534,Married,67433
5153,Married,77766
961,Married,74716
5011,Divorced,68118
6653,Married,55158
9094,Married,62972
810,Married,74190
5493,Married,39356
2147,Together,76653
5107,Divorced,35860
3979,Divorced,90687
6049,Together,73450
8147,Married,31454
1857,Single,47139
3910,Divorced,83829
5207,Married,53378
11114,Together,19656
5429,Married,45579
9400,Single,85485
1740,Married,55956
7488,Single,64191
195,Single,38808
635,Married,57183
7527,Divorced,23748
10319,Married,66303
2296,Married,37368
10637,Married,40800
2931,Divorced,71847
907,Married,46149
3698,Together,78687
9516,Divorced,49118
679,Married,37633
7384,Together,39767
5043,Married,26997
5267,Divorced,33986
339,Married,57091
2516,Married,46831
9010,Married,83151
378,Married,52531
4808,Married,15759
5068,Single,22804
7628,Married,43050
7128,Single,42997
2811,Single,48918
3551,Together,60033
1663,Together,34043
5543,Together,57811
1577,Married,78569
10641,Single,7500
5336,Together,157733
6024,Together,94384
1878,Married,23148
3099,Divorced,44267
6055,Married,71626
5841,Together,60894
3972,Together,50200
4394,Married,81051
5758,Married,65169
6658,Together,59868
4603,Married,65695
8427,Single,64857
10260,Together,45143
7143,Together,74805
8789,Married,59060
6197,Single,27238
4554,Together,47009
4937,Married,46094
1920,Married,40321
8749,Together,37235
1650,Married,81843
10377,Together,46692
9206,Together,77382
10971,Single,37774
6398,Married,18393
9212,Married,72828
7937,Married,24711
839,Married,45503
4246,Single,6560
158,Together,71604
4832,Married,27244
5621,Married,48752
1945,Married,71434
5147,Single,90842
2535,Married,88097
11039,Married,51948
9495,Together,71853
9635,Married,35876
2173,Widow,40049
942,Single,39660
9386,Together,50127
5510,Married,43263
873,Married,62845
2253,Married,18929
5181,Single,24367
979,Single,33249
10390,Married,26887
4698,Married,50150
7793,Together,62061
1745,Divorced,85696
10590,Together,76542
5080,Single,70515
8369,Together,18227
5232,Married,69139
2407,Married,69109
3834,Single,69627
7912,Married,38136
7712,Single,62159
1065,Single,80695
7275,Single,33316
1343,Together,58554
1384,Married,17256
9967,Divorced,53034
6181,Together,52203
10507,Divorced,59601
2674,Single,75154
2698,Single,47025
3231,Married,37971
4096,Divorced,41335
10476,Married,67267
5948,Single,57338
9140,Together,50523
10258,Single,35791
5675,Divorced,50611
4743,Married,56242
8805,Single,48904
1542,Single,56243
6770,Married,21355
8773,Together,57420
10475,Together,
10420,Divorced,46390
7514,Together,54342
2902,Together,
4345,Single,
793,Married,20895
10909,Married,92344
3769,Together,
8702,Together,26907
4791,Together,44964
2963,Together,75507
8216,Married,53761
8140,Together,22682
10146,Together,38887
5289,Single,41658
2587,Married,29791
4405,Married,63915
8663,Divorced,39996
2589,Divorced,26759
3421,Divorced,63841
10490,Married,51039
4094,Married,60544
9958,Married,65685
2534,Married,37716
4188,Single,36864
6613,Married,44511
10827,Married,36947
5491,Together,47352
8402,Married,67087
8783,Married,57045
10010,Divorced,36957
618,Married,69389
9121,Married,80134
361,Married,43142
4310,Married,80589
2678,Single,34412
6376,Single,57537
524,Together,22634
10341,Together,51315
5654,Married,36026
4098,Married,24639
5824,Together,34578
7000,Single,65704
2561,Single,63810
5229,Together,54132
4086,Married,18690
2428,Married,28164
8254,Married,34596
2836,Married,43269
8418,Single,38741
1362,Single,31907
7152,Married,27100
10033,Divorced,31163
9349,Married,92533
274,Single,34853
3388,Divorced,70844
922,Married,31086
8588,Married,60544
2518,Together,20491
574,Married,42523
3220,Married,39922
5967,Together,33402
1183,Married,36408
6856,Together,21645
4530,Widow,78427
1553,Together,82657
4682,Married,51876
8204,Married,78041
5221,Married,52852
1232,Together,70038
1927,Together,69401
5788,Together,46053
6652,Married,77343
6246,Single,73892
5975,Single,40304
6875,Together,32727
4399,Together,68695
4042,Divorced,43300
2157,Together,26290
10133,Single,93790
2525,Married,38410
8233,Widow,64866
9483,Together,57957
2945,Together,46015
10403,Together,16531
5074,Married,28072
10524,Divorced,49476
4690,Married,50725
7521,Together,83844
7196,Married,41145
4406,Together,67419
9672,Married,23162
4864,Married,34380
4706,Single,34704
4070,Married,94871
25,Married,65148
3697,Together,39898
217,Single,64857
4220,Married,59892
5286,Single,41020
9559,Married,57072
2849,Single,60474
7787,Together,62807
3102,Together,19414
5868,Married,19107
8370,Together,75484
9988,Single,70379
2939,Together,79419
5529,Together,64014
9743,Married,76998
5763,Together,49854
3478,Married,60585
7494,Divorced,42873
1763,Together,87679
7250,Together,57867
2005,Married,35765
10770,Married,65492
6885,Divorced,32952
2072,Together,53374
9463,Together,71706
6318,Married,68487
4093,Together,53253
5751,Divorced,31163
3340,Married,42014
3594,Married,54108
3584,Single,49667
3643,Married,63206
851,Married,57136
7706,Together,46772
3967,Married,78931
10128,Together,53977
486,Married,84219
9,Single,46098
9451,Married,73538
9264,Married,79529
3865,Together,20981
2853,Single,51766
1490,Married,55759
6310,Married,33039
10380,Married,37787
3887,Single,27242
4278,Single,87188
8643,Together,69930
1998,Single,37697
10795,Married,37401
11110,Single,3502
2408,Married,58597
202,Widow,82032
7998,Together,28087
830,Single,74004
3536,Together,19740
6050,Married,57036
